('5320.30', '0.00')
('5348.02', '0.00')
('5375.75', '0.00')
('5402.01', '0.00')
('5429.74', '0.00')
('5457.46', '0.00')
('5485.19', '0.00')
('5511.45', '0.00')
('5539.18', '0.00')
('5566.90', '0.00')
('5594.63', '0.00')
('5620.89', '0.00')
('5648.62', '0.00')
('5676.34', '0.00')
('5704.07', '0.00')
('5730.34', '0.00')
('5758.06', '0.00')
('5785.79', '0.00')
('5813.51', '0.00')
('5839.78', '0.00')
('5867.50', '0.00')
('5895.23', '0.00')
('5922.95', '0.00')
('5950.68', '0.00')
('5976.94', '0.00')
('6004.67', '0.00')
('6032.39', '0.00')
('6061.58', '0.00')
('6087.84', '0.00')
('6114.11', '0.00')
('6141.83', '0.00')
('6169.56', '0.00')
('6197.28', '0.00')
('6223.55', '0.00')
('6251.27', '0.00')
('6279.00', '0.00')
('6306.73', '0.00')
('6332.99', '0.00')
('6360.72', '0.00')
('6388.44', '0.00')
('6416.17', '0.00')
('6442.43', '0.00')
('6470.16', '0.00')
('6497.88', '0.00')
('6525.61', '0.00')
('6553.33', '0.00')
('6579.60', '0.00')
('6607.32', '0.00')
('6635.05', '0.00')
('6662.77', '0.00')
('6689.04', '0.00')
('6716.76', '0.00')
('6744.49', '0.00')
('6772.21', '0.00')
('6799.94', '0.00')
('6826.21', '0.00')
('6853.93', '0.00')
('6881.66', '0.00')
('6909.38', '0.00')
('6935.65', '0.00')
('6963.37', '0.00')
('6989.64', '0.00')
('7017.36', '0.00')
('7045.09', '0.00')
('7072.81', '0.00')
('7099.08', '0.00')
('7126.80', '0.00')
('7154.53', '0.00')
('7180.79', '0.00')
('7208.52', '0.00')
('7236.24', '0.00')
('7263.97', '0.00')
('7290.24', '0.00')
('7317.96', '0.00')
('7345.69', '0.00')
('7373.41', '0.00')
('7399.68', '0.00')
('7427.40', '0.00')
('7455.13', '0.00')
('7482.85', '0.00')
('7510.58', '0.00')
('7536.84', '0.00')
('7564.57', '0.00')
('7590.83', '0.00')
('7618.56', '0.00')
('7646.28', '0.00')
('7672.55', '0.00')
('7700.27', '0.00')
('7728.00', '0.00')
('7755.73', '0.00')
('7783.45', '0.00')
('7809.72', '0.00')
('7837.44', '0.00')
('7865.17', '0.00')
('7891.43', '0.00')
('7919.16', '0.00')
('5209.40', '121.11')
('5237.12', '121.11')
('5264.85', '121.11')
('5292.57', '121.11')
('68.58', '126.95')
('93.39', '126.95')
('118.20', '126.95')
('167.81', '126.95')
('214.50', '126.95')
('239.31', '126.95')
('264.12', '126.95')
('288.92', '126.95')
('143.00', '128.41')
('191.16', '128.41')
('313.73', '128.41')
('337.08', '128.41')
('361.89', '128.41')
('386.69', '128.41')
('410.04', '129.87')
('434.85', '129.87')
('509.27', '128.41')
('532.61', '129.87')
('557.42', '129.87')
('582.23', '129.87')
('607.03', '129.87')
('631.84', '129.87')
('656.65', '129.87')
('679.99', '129.87')
('459.65', '131.33')
('484.46', '131.33')
('704.80', '131.33')
('729.61', '131.33')
('752.95', '131.33')
('777.76', '132.79')
('801.11', '132.79')
('827.37', '132.79')
('852.18', '132.79')
('900.34', '132.79')
('875.53', '134.25')
('923.68', '134.25')
('948.49', '134.25')
('973.30', '134.25')
('999.56', '135.71')
('1024.37', '135.71')
('1047.72', '135.71')
('1071.06', '135.71')
('1095.87', '137.17')
('1119.22', '137.17')
('1144.02', '137.17')
('1168.83', '137.17')
('1193.64', '138.63')
('1216.98', '138.63')
('1240.33', '138.63')
('1263.68', '138.63')
('1287.03', '138.63')
('1311.83', '138.63')
('1335.18', '140.08')
('1359.99', '140.08')
('1384.79', '140.08')
('1408.14', '140.08')
('1431.49', '140.08')
('1456.30', '141.54')
('1479.64', '141.54')
('1504.45', '141.54')
('1527.80', '141.54')
('1552.60', '141.54')
('1575.95', '141.54')
('1599.30', '141.54')
('1624.11', '143.00')
('1647.45', '143.00')
('1672.26', '143.00')
('1695.61', '143.00')
('1718.95', '143.00')
('1743.76', '144.46')
('1767.11', '144.46')
('1791.92', '144.46')
('1815.26', '144.46')
('1838.61', '145.92')
('1863.42', '145.92')
('1886.76', '145.92')
('1910.11', '145.92')
('1934.92', '147.38')
('1959.73', '147.38')
('1984.53', '145.92')
('2007.88', '147.38')
('2031.23', '147.38')
('2056.03', '147.38')
('2079.38', '147.38')
('2105.65', '147.38')
('2127.53', '148.84')
('2150.88', '148.84')
('2174.23', '150.30')
('2199.04', '150.30')
('2222.38', '150.30')
('2247.19', '150.30')
('2318.69', '150.30')
('2270.54', '151.76')
('2295.34', '151.76')
('2343.50', '151.76')
('2366.85', '151.76')
('2390.19', '151.76')
('2413.54', '151.76')
('2486.50', '153.22')
('2509.85', '153.22')
('2534.66', '153.22')
('2558.00', '153.22')
('2441.27', '156.14')
('2461.69', '154.68')
('2581.35', '154.68')
('2606.16', '154.68')
('2629.50', '154.68')
('2654.31', '156.14')
('2677.66', '156.14')
('2701.01', '156.14')
('2725.81', '156.14')
('2749.16', '157.60')
('2772.51', '157.60')
('2797.31', '157.60')
('2820.66', '157.60')
('2845.47', '159.05')
('2868.82', '159.05')
('2895.08', '159.05')
('2916.97', '159.05')
('2940.32', '159.05')
('2965.12', '160.51')
('2988.47', '161.97')
('3013.28', '160.51')
('3036.63', '160.51')
('3061.43', '161.97')
('3084.78', '161.97')
('3108.13', '161.97')
('3132.93', '161.97')
('3156.28', '163.43')
('3179.63', '163.43')
('3204.44', '163.43')
('3229.24', '163.43')
('3252.59', '163.43')
('3275.94', '163.43')
('3300.74', '163.43')
('3324.09', '164.89')
('3347.44', '164.89')
('3372.24', '164.89')
('3395.59', '164.89')
('3443.75', '164.89')
('3467.09', '164.89')
('3420.40', '166.35')
('3490.44', '166.35')
('3515.25', '166.35')
('3538.60', '166.35')
('3563.40', '166.35')
('3586.75', '167.81')
('3611.56', '166.35')
('3634.90', '166.35')
('3659.71', '166.35')
('3683.06', '166.35')
('3706.40', '166.35')
('3731.21', '166.35')
('3754.56', '166.35')
('3777.91', '167.81')
('3801.25', '167.81')
('3826.06', '167.81')
('6060.12', '234.93')
('5012.40', '447.98')
('5040.13', '447.98')
('5067.85', '447.98')
('5121.84', '447.98')
('5094.12', '449.44')
('5149.57', '449.44')
('5177.29', '449.44')
('5205.02', '449.44')
('5231.28', '450.90')
('5259.01', '450.90')
('5286.73', '450.90')
('5371.37', '450.90')
('5343.64', '452.36')
('5399.09', '452.36')
('5426.82', '452.36')
('5451.63', '452.36')
('5479.35', '452.36')
('5505.62', '453.82')
('5534.80', '453.82')
('5561.07', '453.82')
('5588.79', '455.27')
('5616.52', '455.27')
('5644.24', '455.27')
('5670.51', '455.27')
('5698.23', '455.27')
('5725.96', '456.73')
('5753.68', '456.73')
('5781.41', '456.73')
('5809.13', '458.19')
('5835.40', '458.19')
('5863.12', '458.19')
('5890.85', '458.19')
('5918.57', '458.19')
('5944.84', '459.65')
('5972.56', '459.65')
('6000.29', '459.65')
('6026.56', '459.65')
('6054.28', '459.65')
('6083.47', '459.65')
('6109.73', '459.65')
('6137.46', '461.11')
('6165.18', '461.11')
('6191.45', '461.11')
('6219.17', '461.11')
('6246.90', '462.57')
('6274.62', '461.11')
('6302.35', '462.57')
('6328.61', '462.57')
('6356.34', '462.57')
('6384.06', '464.03')
('6411.79', '464.03')
('6439.51', '464.03')
('6465.78', '464.03')
('6493.50', '464.03')
('6519.77', '465.49')
('6547.50', '465.49')
('6575.22', '465.49')
('6602.95', '465.49')
('6684.66', '465.49')
('6629.21', '466.95')
('6656.94', '466.95')
('6712.39', '466.95')
('6740.11', '466.95')
('6767.84', '466.95')
('6794.10', '468.41')
('6821.83', '468.41')
('6849.55', '468.41')
('6875.82', '469.87')
('6903.54', '469.87')
('6931.27', '469.87')
('6958.99', '469.87')
('6986.72', '471.33')
('7014.44', '471.33')
('7040.71', '471.33')
('7068.44', '472.79')
('7094.70', '472.79')
('7122.43', '472.79')
('7150.15', '472.79')
('7177.88', '474.24')
('7204.14', '474.24')
('7231.87', '474.24')
('7259.59', '474.24')
('7287.32', '474.24')
('7313.58', '474.24')
('7341.31', '474.24')
('7369.03', '475.70')
('7396.76', '475.70')
('7424.48', '475.70')
('7450.75', '475.70')
('7478.47', '477.16')
('7506.20', '477.16')
('7587.92', '477.16')
('7532.47', '478.62')
('7560.19', '478.62')
('7614.18', '478.62')
('7641.91', '480.08')
('7669.63', '480.08')
('7697.36', '480.08')
('7726.54', '480.08')
('7751.35', '480.08')
('7779.07', '480.08')
('7805.34', '480.08')
('7833.06', '481.54')
('7860.79', '481.54')
('7888.51', '481.54')
('7914.78', '481.54')
('7942.50', '483.00')
('7970.23', '481.54')
('59.83', '520.94')
('86.09', '520.94')
('110.90', '520.94')
('134.25', '520.94')
('159.05', '520.94')
('186.78', '520.94')
('208.67', '520.94')
('233.47', '522.40')
('256.82', '522.40')
('283.09', '522.40')
('307.89', '522.40')
('331.24', '522.40')
('356.05', '523.86')
('379.40', '523.86')
('404.20', '525.32')
('429.01', '525.32')
('453.82', '525.32')
('477.16', '525.32')
('503.43', '525.32')
('528.24', '525.32')
('551.58', '525.32')
('576.39', '525.32')
('602.66', '526.78')
('626.00', '526.78')
('650.81', '526.78')
('674.16', '526.78')
('698.96', '528.24')
('723.77', '528.24')
('748.58', '528.24')
('773.38', '528.24')
('798.19', '529.69')
('823.00', '529.69')
('847.80', '529.69')
('871.15', '529.69')
('895.96', '531.15')
('919.31', '531.15')
('944.11', '531.15')
('968.92', '532.61')
('993.73', '532.61')
('1017.07', '532.61')
('1041.88', '532.61')
('1066.69', '532.61')
('1090.03', '532.61')
('1114.84', '534.07')
('1139.65', '534.07')
('1162.99', '534.07')
('1186.34', '534.07')
('1211.15', '534.07')
('1234.50', '534.07')
('1259.30', '534.07')
('1282.65', '535.53')
('1307.46', '535.53')
('1330.80', '535.53')
('1354.15', '535.53')
('1378.96', '535.53')
('1402.31', '535.53')
('1427.11', '536.99')
('1450.46', '536.99')
('1473.81', '536.99')
('1498.61', '538.45')
('1521.96', '538.45')
('1545.31', '538.45')
('1570.11', '538.45')
('1593.46', '538.45')
('1641.62', '538.45')
('1616.81', '539.91')
('1664.96', '539.91')
('1688.31', '539.91')
('1711.66', '539.91')
('1736.47', '539.91')
('1759.81', '539.91')
('1784.62', '541.37')
('1809.43', '541.37')
('1834.23', '541.37')
('1857.58', '541.37')
('1880.93', '542.83')
('1905.73', '542.83')
('1929.08', '542.83')
('1952.43', '542.83')
('1977.24', '544.29')
('2002.04', '544.29')
('2025.39', '544.29')
('2048.74', '544.29')
('2073.54', '544.29')
('2096.89', '545.75')
('2120.24', '545.75')
('2143.59', '545.75')
('2168.39', '545.75')
('2191.74', '547.21')
('2216.55', '547.21')
('2241.35', '547.21')
('2264.70', '547.21')
('2288.05', '547.21')
('2312.85', '548.66')
('2336.20', '548.66')
('2359.55', '548.66')
('2409.16', '548.66')
('2432.51', '550.12')
('2457.32', '550.12')
('2504.01', '550.12')
('2528.82', '550.12')
('2480.66', '551.58')
('2552.17', '551.58')
('2576.97', '551.58')
('2600.32', '551.58')
('2623.67', '551.58')
('2648.47', '551.58')
('2671.82', '553.04')
('2696.63', '551.58')
('2719.98', '553.04')
('2744.78', '553.04')
('2768.13', '553.04')
('2791.48', '553.04')
('2816.28', '554.50')
('2839.63', '554.50')
('2864.44', '554.50')
('2887.79', '554.50')
('2912.59', '554.50')
('2934.48', '554.50')
('2959.29', '555.96')
('2982.63', '555.96')
('3007.44', '555.96')
('3030.79', '555.96')
('3054.14', '557.42')
('3077.48', '557.42')
('3102.29', '557.42')
('3125.64', '557.42')
('3150.44', '557.42')
('3173.79', '557.42')
('3198.60', '558.88')
('3221.95', '558.88')
('3246.75', '558.88')
('3270.10', '558.88')
('3293.45', '560.34')
('3318.25', '560.34')
('3341.60', '560.34')
('3366.41', '560.34')
('3389.76', '561.80')
('3413.10', '561.80')
('3437.91', '560.34')
('3461.26', '560.34')
('3484.60', '560.34')
('3509.41', '561.80')
('3532.76', '561.80')
('3557.56', '563.26')
('3580.91', '563.26')
('3604.26', '564.72')
('3629.07', '564.72')
('3652.41', '564.72')
('3677.22', '564.72')
('3700.57', '564.72')
('3725.37', '564.72')
('3748.72', '566.18')
('3772.07', '566.18')
('3796.88', '566.18')
('3820.22', '566.18')
('4930.69', '601.20')
('4956.95', '601.20')
('4984.68', '601.20')
('183.86', '796.73')
('4622.79', '973.30')
('4649.06', '973.30')
('4676.78', '973.30')
('4704.51', '973.30')
('4732.23', '974.76')
('4759.96', '974.76')
('4786.22', '974.76')
('4815.41', '974.76')
('4841.67', '974.76')
('4869.40', '974.76')
('4897.12', '976.21')
('4924.85', '976.21')
('4951.11', '976.21')
('4978.84', '976.21')
('5445.79', '974.76')
('5006.56', '977.67')
('5034.29', '977.67')
('5062.02', '977.67')
('5089.74', '977.67')
('5116.01', '977.67')
('5143.73', '979.13')
('5174.37', '979.13')
('5199.18', '979.13')
('5225.45', '979.13')
('5419.52', '977.67')
('5253.17', '980.59')
('5280.90', '980.59')
('5308.62', '980.59')
('5336.35', '980.59')
('5364.07', '980.59')
('5391.80', '982.05')
('5473.51', '982.05')
('5501.24', '982.05')
('5528.96', '980.59')
('5555.23', '982.05')
('5582.95', '982.05')
('5610.68', '982.05')
('5638.40', '982.05')
